sectionCandidateId,fromStationCode,toStationCode,fromStationName,toStationName,routeName,division,zone,sequence,direction,distance,distanceStatus,sourceId,dataVersionId,verificationStatus,authorityLevel
SEC-TRM-OV-c388ea,TRM,OV,Tirumani,Otivakkam,South Line (MS-VM),CHENNAI,SR,27,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-OV-PTM-e4ca09,OV,PTM,Otivakkam,Padalam,South Line (MS-VM),CHENNAI,SR,28,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-PTM-KGZ-7dc095,PTM,KGZ,Padalam,Karunguzhi,South Line (MS-VM),CHENNAI,SR,29,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-KGZ-MMK-16dd5d,KGZ,MMK,Karunguzhi,Madurantakam,South Line (MS-VM),CHENNAI,SR,30,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-MMK-PAK-4a27f8,MMK,PAK,Madurantakam,Pakkam,South Line (MS-VM),CHENNAI,SR,31,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-PAK-MLMR-b2cb0c,PAK,MLMR,Pakkam,Melmaruvathur,South Line (MS-VM),CHENNAI,SR,32,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-MLMR-ACK-daf2dc,MLMR,ACK,Melmaruvathur,Acharapakkam,South Line (MS-VM),CHENNAI,SR,33,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-ACK-TZD-51f42a,ACK,TZD,Acharapakkam,Tozhuppu,South Line (MS-VM),CHENNAI,SR,34,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-TZD-OLA-e0dc11,TZD,OLA,Tozhuppu,Olakkur,South Line (MS-VM),CHENNAI,SR,35,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-OLA-TMV-dade94,OLA,TMV,Olakkur,Tindivanam,South Line (MS-VM),CHENNAI,SR,36,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-TMV-MTL-f58a1f,TMV,MTL,Tindivanam,Mailam,South Line (MS-VM),CHENNAI,SR,37,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-MTL-PEI-d0e919,MTL,PEI,Mailam,Perani,South Line (MS-VM),CHENNAI,SR,38,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-PEI-VV-98829e,PEI,VV,Perani,Vikravandi,South Line (MS-VM),CHENNAI,SR,39,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
